id;language_code;display_language_code;name
1;en;en;English
2;en;es;Inglés
3;en;de;Englisch
4;en;fr;Anglais
5;en;ar;الإنجليزية
6;en;bs;English
7;en;bg;Английски
8;en;ca;English
9;en;cs;Angličtina
10;en;sk;Angličtina
11;en;cy;English
12;en;da;English
13;en;el;Αγγλικα
14;en;eo;English
15;en;et;English
16;en;eu;English
17;en;fa;English
18;en;fi;englanti
19;en;ga;English
20;en;he;אנגלית
21;en;hi;English
22;en;hr;Engleski
23;en;hu;angol
24;en;hy;English
25;en;id;English
26;en;is;English
27;en;it;Inglese
28;en;ja;英語
29;en;ko;영어
30;en;ku;English
31;en;la;English
32;en;lv;English
33;en;lt;English
34;en;mk;English
35;en;mt;English
36;en;mn;English
37;en;ne;English
38;en;nl;Engels
39;en;nb;Engelsk
40;en;pa;English
41;en;pl;angielski
42;en;pt-pt;Inglês
43;en;pt-br;Inglês
44;en;qu;English
45;en;ro;Engleză
46;en;ru;Английский
47;en;sl;Angleščina
48;en;so;English
49;en;sq;English
50;en;sr;енглески
51;en;sv;Engelska
52;en;ta;English
53;en;th;อังกฤษ
54;en;tr;İngilizce
55;en;uk;English
56;en;ur;English
57;en;uz;English
58;en;vi;English
59;en;yi;English
60;en;zh-hans;英语
61;en;zu;English
62;en;zh-hant;英語
63;en;ms;English
64;es;en;Spanish
65;es;es;Español
66;es;de;Spanisch
67;es;fr;Espagnol
68;es;ar;الأسبانية
69;es;bs;Spanish
70;es;bg;Испански
71;es;ca;Spanish
72;es;cs;Španělský
73;es;sk;Španielčina
74;es;cy;Spanish
75;es;da;Spanish
76;es;el;Ισπανικα
77;es;eo;Spanish
78;es;et;Spanish
79;es;eu;Spanish
80;es;fa;Spanish
81;es;fi;espanja
82;es;ga;Spanish
83;es;he;ספרדית
84;es;hi;Spanish
85;es;hr;španjolski
86;es;hu;spanyol
87;es;hy;Spanish
88;es;id;Spanish
89;es;is;Spanish
90;es;it;Spagnolo
91;es;ja;スペイン語
92;es;ko;스페인어
93;es;ku;Spanish
94;es;la;Spanish
95;es;lv;Spanish
96;es;lt;Spanish
97;es;mk;Spanish
98;es;mt;Spanish
