id;code;english_name;major;active;default_locale;tag;encode_url
1;en;English;1;1;en_US;en;0
2;es;Spanish;1;0;es_ES;es;0
3;de;German;1;0;de_DE;de;0
4;fr;French;1;0;fr_FR;fr;0
5;ar;Arabic;0;0;ar;ar;0
6;bs;Bosnian;0;0;;bs;0
7;bg;Bulgarian;0;1;bg_BG;bg;0
8;ca;Catalan;0;0;ca;ca;0
9;cs;Czech;0;0;cs_CZ;cs;0
10;sk;Slovak;0;0;sk_SK;sk;0
11;cy;Welsh;0;0;cy;cy;0
12;da;Danish;1;0;da_DK;da;0
13;el;Greek;0;0;el;el;0
14;eo;Esperanto;0;0;eo;eo;0
15;et;Estonian;0;0;et;et;0
16;eu;Basque;0;0;eu;eu;0
17;fa;Persian;0;0;fa_IR;fa;0
18;fi;Finnish;0;0;fi;fi;0
19;ga;Irish;0;0;;ga;0
20;he;Hebrew;0;0;he_IL;he;0
21;hi;Hindi;0;0;;hi;0
22;hr;Croatian;0;0;hr;hr;0
23;hu;Hungarian;0;0;hu_HU;hu;0
24;hy;Armenian;0;0;;hy;0
25;id;Indonesian;0;0;id_ID;id;0
26;is;Icelandic;0;0;is_IS;is;0
27;it;Italian;1;0;it_IT;it;0
28;ja;Japanese;1;0;ja;ja;0
29;ko;Korean;0;0;ko_KR;ko;0
30;ku;Kurdish;0;0;ku;ku;0
31;la;Latin;0;0;;la;0
32;lv;Latvian;0;0;lv;lv;0
33;lt;Lithuanian;0;0;lt;lt;0
34;mk;Macedonian;0;0;mk_MK;mk;0
35;mt;Maltese;0;0;;mt;0
36;mn;Mongolian;0;0;;mn;0
37;ne;Nepali;0;0;;ne;0
38;nl;Dutch;1;0;nl_NL;nl;0
39;nb;Norwegian Bokmål;0;0;nb_NO;nb;0
40;pa;Punjabi;0;0;;pa;0
41;pl;Polish;0;0;pl_PL;pl;0
42;pt-pt;Portuguese, Portugal;0;0;pt_PT;pt-pt;0
43;pt-br;Portuguese, Brazil;0;0;pt_BR;pt-br;0
44;qu;Quechua;0;0;;qu;0
45;ro;Romanian;0;1;ro_RO;ro;0
46;ru;Russian;1;0;ru_RU;ru;0
47;sl;Slovenian;0;0;sl_SI;sl;0
48;so;Somali;0;0;;so;0
49;sq;Albanian;0;0;;sq;0
50;sr;Serbian;0;0;sr_RS;sr;0
51;sv;Swedish;0;0;sv_SE;sv;0
52;ta;Tamil;0;0;;ta;0
53;th;Thai;0;0;th;th;0
54;tr;Turkish;0;0;tr;tr;0
55;uk;Ukrainian;0;0;uk_UA;uk;0
56;ur;Urdu;0;0;;ur;0
57;uz;Uzbek;0;0;uz_UZ;uz;0
58;vi;Vietnamese;0;0;vi;vi;0
59;yi;Yiddish;0;0;;yi;0
60;zh-hans;Chinese (Simplified);1;0;zh_CN;zh-hans;0
61;zu;Zulu;0;0;;zu;0
62;zh-hant;Chinese (Traditional);1;0;zh_TW;zh-hant;0
63;ms;Malay;0;0;ms_MY;ms;0
