id;name;slug;term_group
1;Work;work;0
2;Real Estate - Sales;real-estate-sales;0
3;Real Estate - Rents;real-estate-rents;0
4;Auto - Moto;auto-moto;0
5;Automobiles, Jeeps, Trucks;automobiles-jeeps-trucks;0
6;Trucks;trucks;0

7;Top Menu;top-menu;0
8;Top Header Menu;top-header-menu;0
9;Footer Menu;footer-menu;0

10;USA;usa;0
11;Florida;florida;0
12;Orlando;orlando;0
13;Miami;miami;0
14;Miami Beach;miami-beach;0
15;Jacksonville;jacksonville;0
16;Tallahassee;tallahassee;0
17;Tampa;tampa;0

18;Footer Menu BG;footer-menu-bg;0
19;Top Header Menu BG;top-header-menu-bg;0

20;Footer Menu RO;footer-menu-ro;0
21;Top Header Menu RO;top-header-menu-ro;0
